3C分析,市場・競合・自社を分析する手法
ASP,インターネット経由でソフトウェアを提供するサービス
BCP,事業継続計画
BPM,業務プロセスを継続的に改善する管理手法
BPO,業務の一部を外部企業に委託すること
BPR,業務を根本から見直して再構築する手法
BSC,企業の業績を多面的に評価する手法
BTO,受注後に製品を組み立てる方式
BYOD,個人所有の端末を業務で利用すること
CA,認証局（デジタル証明書を発行する機関）
CAD,コンピュータを使った設計支援
CAPTCHA,人間とボットを判別する仕組み
CEO,最高経営責任者
CIO,最高情報責任者
CRM,顧客関係管理
CSF,重要成功要因
CSIRT,セキュリティ事故対応チーム
CSR,企業の社会的責任
DFD,データの流れを図式化したもの
DRAM,揮発性の主記憶装置
EA,企業全体の情報システムを最適化する設計手法
ERP,企業資源を統合管理するシステム
E-R図,データベースの構造を表す図
FP法,ソフトウェアの規模を見積もる手法
HTML,Webページを記述する言語
ICT,情報通信技術
IDS,不正侵入を検知する仕組み
IoT,モノがインターネットにつながる仕組み
IPS,不正侵入を防御する仕組み
IPアドレス,ネットワーク上の住所
IrDA,赤外線通信規格
ISMS,情報セキュリティ管理の仕組み
ISO,国際標準化機構
ISO14000,環境マネジメントに関する国際規格
ISO27000,情報セキュリティマネジメントの国際規格
ISO9000,品質管理に関する国際規格
ITIL,ITサービス管理のベストプラクティス
ITガバナンス,ITを適切に管理・統制する仕組み
KJ法,アイデアを分類・整理する手法
M&A,企業の合併・買収
MACアドレス,ネットワーク機器に割り当てられた固有番号
MBO,企業の経営陣が、自社の株式や事業部門を買収して独立するM&Aの手法
MP3,音声圧縮形式
MRP,資材所要量計画
MTBF,平均故障間隔
MTTR,平均修復時間
NDA,秘密保持契約
OEM,他社ブランド製品を製造すること
Off-JT,職場外での研修
OJT,職場内での実務研修
OSS,オープンソースソフトウェア
PDCAサイクル,計画→実行→評価→改善のサイクル
PDF,電子文書フォーマット
PKI,公開鍵基盤
PLC,製品が市場に登場してから衰退して消えていくまでの一連の段階
PL法,製造物責任法
PMBOK,プロジェクト管理の知識体系
POSシステム,販売時点情報管理システム
PPM,製品を市場成長率と占有率で分類する手法
RAIDシステム,複数HDDをまとめて高速化・冗長化する仕組み
